instrument_uri,old_owner,new_owner
pmsr:INI1784603367546,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367547,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367548,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367550,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367551,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367552,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367554,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367555,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367556,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367558,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367559,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367561,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367562,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367563,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367565,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367566,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367567,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367569,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367570,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367571,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367573,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367574,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367575,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367577,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367578,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367579,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367581,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367582,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367583,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367584,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367586,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367587,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367588,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367590,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367591,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367592,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367594,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367595,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367596,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367598,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367599,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367600,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367602,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367603,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
pmsr:INI1784603367604,https://pmsr.net/ont/ORG174547834502865973,https://pmsr.net/ont/ORG174547834502838939
